Id,Numero,DataAjuizamento,IdClasse,IdAssunto,AnoEleicao
405277761,06000061120206070015,2020-02-1800:00:00.,{261},{11778},0
405277768,00000326620176070014,2017-05-0315:16:16.,{12549},{11778},0
405277771,06000082320206070001,2020-02-1400:00:00.,{12552},{11778},0
405277776,00000192720176070092,2017-08-2118:46:29.,{12559},{11778},0
405277780,06000013420216070021,2021-01-1100:00:00.,{241},{11778},0
405277782,06001526020216070001,2021-06-3017:36:46.,{12552},{11778},0
405277789,06000128720216070013,2021-04-1320:08:02.,{355},{11778},0
405277808,00002452720176070999,2017-07-1716:10:56.,{12559},{11778},0
405277814,06000667320206070050,2020-06-0700:00:00.,{12553},{11778},0
405277815,00000614620176070005,2017-10-0915:14:41.,{12549},{11778},0
405277816,00000097020196070008,2019-02-1500:00:00.,{12549},{11778},0
405277817,00000245120196070004,2019-07-1714:39:13.,{279},{11778},0
405277830,00000240420176070010,2017-07-0417:48:37.,{12549},{11778},0
405277836,06000211120196070016,2019-10-1616:38:06.,{355},{11778},0
405277838,06000027720206070013,2020-01-1700:00:00.,{12552},{11778},0
405277855,00000573920176070092,2017-10-1818:02:37.,{12559},{11778},0
405277856,06000194320206070004,2020-10-2200:00:00.,{355},{11778},0
405277859,00000272320176070021,2017-05-2613:01:10.,{12553},{11778},0
405277860,00001587920176070091,2017-12-1916:58:52.,{12549},{11778},0
405277861,00000033020196070019,2019-01-2815:24:42.,{12549},{11778},0
405277865,00001336620176070091,2017-08-2512:19:08.,{12553},{11778},0
405277868,06000157020206070015,2020-11-0513:14:24.,{355},{11778},0
405277873,06000759120216070020,2021-07-0714:28:48.,{12553},{11778},0
405277879,06000420720216070019,2021-07-2400:00:00.,{12377},{11778},0
405277880,06000013720216070020,2021-01-1500:00:00.,{12553},{11778},0
405277885,06000303120206070050,2020-03-1300:00:00.,{12549},{11778},0
405277888,00000752920186070091,2018-05-0221:30:55.,{12553},{11778},0
405277890,06000479020206070010,2020-02-1217:39:53.,{241},{11778},0
405277892,06000474420216070014,2021-06-3000:00:00.,{355},{11778},0
405277894,06000054120206070010,2020-01-2314:50:13.,{241},{11778},0
405277896,00001370220156070018,2015-06-1215:23:11.,{11541},{11778},0
405277897,00000675220186070091,2018-04-2522:45:40.,{12553},{11778},0
405277906,06000114520206070011,2020-09-1500:00:00.,{279,1727},{11778},0
405277907,00000727420186070091,2018-04-2719:06:43.,{12553},{11778},0
405277911,00001867820176070016,2017-08-2913:48:53.,{355},{11778},0
405277912,06000046220206070008,2020-02-2600:00:00.,{1304},{11778},0
405277917,00000828520186070005,2018-11-2800:00:00.,{12550},{11778},2018
405277919,00000238420156070011,2015-05-1816:49:33.,{11541},{11778},0
405277920,06000605320196070001,2019-11-1817:42:26.,{355},{11778},0
405277925,00000926520186070091,2018-05-2116:47:55.,{12553},{11778},0
405277929,00000635220186070014,2018-11-0715:10:15.,{12559},{11778},0
405277930,00000994920176070008,2017-11-3000:00:00.,{12549},{11778},0
405277932,00001238520186070091,2018-05-3117:01:53.,{12553},{11778},0
405277933,00000894720176070091,2017-08-1619:13:08.,{12559},{11778},0
405277934,00000585420186070006,2018-07-2516:24:07.,{355},{11778},0
405277939,06000139620216070005,2021-04-1419:42:41.,{355},{11778},0
405277942,00002225520186070091,2018-12-1013:40:36.,{12553},{11778},0
405277943,00000387620176070013,2017-04-2716:30:03.,{12549},{11778},0
405277945,06000011020206070008,2020-01-2811:26:18.,{355},{11778},2016
405277946,00000550920176070015,2017-10-3017:21:41.,{1298},{11778},0
405277948,00000404020176070015,2017-08-2500:00:00.,{12549},{11778},0
405277949,06000207420206070021,2020-11-1000:00:00.,{241},{11778},0
405277955,00001405820176070091,2017-09-1015:27:46.,{12553},{11778},0
405277960,00000728720176070001,2017-06-0512:24:46.,{12549},{11778},0
405277966,06000979320206070050,2020-06-0700:00:00.,{12553},{11778},0
405277967,00001256820176070001,2017-10-3116:18:50.,{12549},{11778},0
405277969,00000312120166070013,2017-08-2400:00:00.,{279},{11778},0
